domain_id,domain_title,domain_type,area_id,area_title,element_id,element_title,kind,level_ceiling,attainable_levels,status
CM-01,Foundations of Measurement Science,core,CM-01-A01,Nature and Purpose of Measurement,CM-01-001,"What measurement is, and what it is not",knowledge,3,1 2 3,draft
CM-01,Foundations of Measurement Science,core,CM-01-A01,Nature and Purpose of Measurement,CM-01-002,Measurement as an input to decisions and its consequences,knowledge,3,1 2 3,draft
CM-01,Foundations of Measurement Science,core,CM-01-A01,Nature and Purpose of Measurement,CM-01-003,The measurand and why its definition governs everything downstream,knowledge,5,1 2 3 4 5,draft
CM-01,Foundations of Measurement Science,core,CM-01-A01,Nature and Purpose of Measurement,CM-01-004,Definitional uncertainty and the effect of measurand definition on the result,knowledge,4,1 2 3 4,draft
CM-01,Foundations of Measurement Science,core,CM-01-A01,Nature and Purpose of Measurement,CM-01-005,Measurement as a modelling activity rather than an observation,knowledge,4,1 2 3 4,draft
CM-01,Foundations of Measurement Science,core,CM-01-A01,Nature and Purpose of Measurement,CM-01-006,Fitness for purpose and the cost of measuring better than needed,judgment,4,1 2 3 4,draft
CM-01,Foundations of Measurement Science,core,CM-01-A01,Nature and Purpose of Measurement,CM-01-007,Nominal properties and qualitative examination,knowledge,3,1 2 3,draft
CM-01,Foundations of Measurement Science,core,CM-01-A01,Nature and Purpose of Measurement,CM-01-008,"Measurement, testing, inspection and calibration distinguished",knowledge,3,1 2 3,draft
CM-01,Foundations of Measurement Science,core,CM-01-A02,Measurement Models and Methods,CM-01-009,Measurement function and measurement model,knowledge,3,1 2 3,draft
CM-01,Foundations of Measurement Science,core,CM-01-A02,Measurement Models and Methods,CM-01-010,Input quantities and output quantities,knowledge,3,1 2 3,draft
CM-01,Foundations of Measurement Science,core,CM-01-A02,Measurement Models and Methods,CM-01-011,"Indication, correction, and the measured quantity value",knowledge,3,1 2 3,draft
CM-01,Foundations of Measurement Science,core,CM-01-A02,Measurement Models and Methods,CM-01-012,Influence quantities and their identification,knowledge,4,1 2 3 4,draft
CM-01,Foundations of Measurement Science,core,CM-01-A02,Measurement Models and Methods,CM-01-013,Direct and indirect measurement methods,knowledge,3,1 2 3,draft
CM-01,Foundations of Measurement Science,core,CM-01-A02,Measurement Models and Methods,CM-01-014,"Comparison methods: substitution, differential and null",knowledge,4,1 2 3 4,draft
CM-01,Foundations of Measurement Science,core,CM-01-A02,Measurement Models and Methods,CM-01-015,"Measurement principle, method and procedure distinguished",knowledge,3,1 2 3,draft
CM-01,Foundations of Measurement Science,core,CM-01-A02,Measurement Models and Methods,CM-01-016,"Measurement systems: sensing, conditioning, conversion, presentation",knowledge,3,1 2 3,draft
CM-01,Foundations of Measurement Science,core,CM-01-A03,"Scales, Quantities and Quantity Calculus",CM-01-017,"Nominal, ordinal, interval and ratio scales",knowledge,3,1 2 3,draft
CM-01,Foundations of Measurement Science,core,CM-01-A03,"Scales, Quantities and Quantity Calculus",CM-01-018,Which operations each scale type permits,knowledge,3,1 2 3,draft
CM-01,Foundations of Measurement Science,core,CM-01-A03,"Scales, Quantities and Quantity Calculus",CM-01-019,Conventional reference scales and their limits,knowledge,3,1 2 3,draft
CM-01,Foundations of Measurement Science,core,CM-01-A03,"Scales, Quantities and Quantity Calculus",CM-01-020,Quantity calculus and the value-times-unit convention,knowledge,4,1 2 3 4,draft
CM-01,Foundations of Measurement Science,core,CM-01-A03,"Scales, Quantities and Quantity Calculus",CM-01-021,Dimensional homogeneity as an error check,knowledge,3,1 2 3,draft
CM-01,Foundations of Measurement Science,core,CM-01-A03,"Scales, Quantities and Quantity Calculus",CM-01-022,"Ordinal quantities in practice: hardness, pH, octane",knowledge,4,1 2 3 4,draft
